timer,hart,hart_rolling_mean
0.0,515,482.955933333
0.854790319355,514,482.955933333
1.70958063871,514,482.955933333
2.56437095806,512,482.955933333
3.41916127742,512,482.955933333
4.27395159677,513,482.955933333
5.12874191613,513,482.955933333
5.98353223548,514,482.955933333
6.83832255484,512,482.955933333
7.69311287419,512,482.955933333
8.54790319355,513,482.955933333
9.4026935129,513,482.955933333
10.2574838323,513,482.955933333
11.1122741516,514,482.955933333
11.967064471,514,482.955933333
12.8218547903,515,482.955933333
13.6766451097,515,482.955933333
14.531435429,516,482.955933333
15.3862257484,516,482.955933333
16.2410160677,516,482.955933333
17.0958063871,515,482.955933333
17.9505967064,515,482.955933333
18.8053870258,516,482.955933333
19.6601773452,516,482.955933333
20.5149676645,514,482.955933333
21.3697579839,515,482.955933333
22.2245483032,514,482.955933333
23.0793386226,512,482.955933333
23.9341289419,512,482.955933333
24.7889192613,513,482.955933333
25.6437095806,514,482.955933333
26.4984999,514,482.955933333
27.3532902193,514,482.955933333
28.2080805387,516,482.955933333
29.0628708581,515,482.955933333
29.9176611774,515,482.955933333
30.7724514968,515,482.955933333
31.6272418161,515,482.955933333
32.4820321355,516,482.955933333
33.3368224548,515,482.955933333
34.1916127742,515,482.955933333
35.0464030935,515,482.955933333
35.9011934129,515,482.955933333
36.7559837322,514,482.955933333
37.6107740516,514,482.955933333
38.465564371,514,482.955933333
39.3203546903,514,482.955933333
40.1751450097,514,482.955933333
41.029935329,514,482.955933333
41.8847256484,514,482.955933333
42.7395159677,513,482.955933333
43.5943062871,514,482.955933333
44.4490966064,513,482.955933333
45.3038869258,514,482.955933333
46.1586772451,514,482.955933333
47.0134675645,514,482.955933333
47.8682578839,515,482.955933333
48.7230482032,515,482.955933333
49.5778385226,514,482.955933333
50.4326288419,514,482.955933333
51.2874191613,516,482.955933333
52.1422094806,516,482.955933333
52.9969998,514,482.955933333
53.8517901193,515,482.955933333
54.7065804387,516,482.955933333
55.5613707581,517,482.955933333
56.4161610774,515,482.955933333
57.2709513968,515,482.955933333
58.1257417161,514,482.955933333
58.9805320355,513,482.955933333
59.8353223548,512,482.955933333
60.6901126742,511,482.955933333
61.5449029935,512,482.955933333
62.3996933129,512,482.955933333
63.2544836322,512,482.955933333
64.1092739516,512,482.955933333
64.964064271,512,482.955933333
65.8188545903,513,482.955933333
66.6736449097,512,482.955933333
67.528435229,513,482.955933333
68.3832255484,514,482.955933333
69.2380158677,513,482.955933333
70.0928061871,513,482.955933333
70.9475965064,514,482.955933333
71.8023868258,515,482.955933333
72.6571771451,515,482.955933333
73.5119674645,515,514.034482759
74.3667577839,514,514.022988506
75.2215481032,515,514.034482759
76.0763384226,515,514.045977011
76.9311287419,515,514.08045977
77.7859190613,517,514.137931034
78.6407093806,516,514.172413793
79.4954997,516,514.206896552
80.3502900193,517,514.24137931
81.2050803387,517,514.298850575
82.059870658,517,514.356321839
82.9146609774,515,514.379310345
83.7694512968,517,514.425287356
84.6242416161,516,514.459770115
85.4790319355,516,514.482758621
86.3338222548,515,514.494252874
87.1886125742,514,514.482758621
88.0434028935,514,514.471264368
88.8981932129,515,514.459770115
89.7529835322,513,514.425287356
90.6077738516,513,514.390804598
91.4625641709,513,514.367816092
92.3173544903,513,514.344827586
93.1721448097,514,514.32183908
94.026935129,514,514.298850575
94.8817254484,515,514.310344828
95.7365157677,515,514.310344828
96.5913060871,514,514.310344828
97.4460964064,514,514.333333333
98.3008867258,514,514.356321839
99.1556770451,515,514.379310345
100.010467364,515,514.390804598
100.865257684,515,514.402298851
101.720048003,515,514.413793103
102.574838323,515,514.402298851
103.429628642,515,514.402298851
104.284418961,514,514.390804598
105.139209281,516,514.402298851
105.9939996,515,514.402298851
106.848789919,515,514.390804598
107.703580239,516,514.402298851
108.558370558,515,514.402298851
109.413160877,516,514.413793103
110.267951197,514,514.402298851
111.122741516,516,514.425287356
111.977531835,516,514.448275862
112.832322155,515,514.459770115
113.687112474,514,514.459770115
114.541902794,514,514.459770115
115.396693113,515,514.471264368
116.251483432,514,514.471264368
117.106273752,514,514.482758621
117.961064071,515,514.494252874
118.81585439,516,514.528735632
119.67064471,515,514.540229885
120.525435029,514,514.540229885
121.380225348,515,514.551724138
122.235015668,514,514.540229885
123.089805987,513,514.517241379
123.944596306,514,514.517241379
124.799386626,514,514.517241379
125.654176945,513,514.482758621
126.508967264,513,514.448275862
127.363757584,514,514.448275862
128.218547903,516,514.459770115
129.073338223,516,514.459770115
129.928128542,515,514.436781609
130.782918861,516,514.448275862
131.637709181,515,514.448275862
132.4924995,514,514.448275862
133.347289819,516,514.482758621
134.202080139,515,514.517241379
135.056870458,516,514.574712644
135.911660777,516,514.620689655
136.766451097,515,514.655172414
137.621241416,515,514.689655172
138.476031735,516,514.735632184
139.330822055,515,514.770114943
140.185612374,514,514.781609195
141.040402694,515,514.816091954
141.895193013,514,514.827586207
142.749983332,513,514.816091954
143.604773652,513,514.816091954
144.459563971,513,514.816091954
145.31435429,514,514.816091954
146.16914461,513,514.793103448
147.023934929,515,514.793103448
147.878725248,515,514.793103448
148.733515568,515,514.804597701
149.588305887,514,514.793103448
150.443096206,514,514.781609195
151.297886526,516,514.793103448
